"school_id","year","level","assessment","subject","tested","proficiency"
"610171",2024,"ES","IAR/PARCC","reading",288,14.9
"610172",2024,"ES","IAR/PARCC","reading",135,15.6
"610173",2024,"ES","IAR/PARCC","reading",109,13.8
"610174",2024,"ES","IAR/PARCC","reading",167,14.4
"610175",2024,"ES","IAR/PARCC","reading",197,22.3
"610176",2024,"ES","IAR/PARCC","reading",254,20.5
"610177",2024,"ES","IAR/PARCC","reading",654,67.7
"610178",2024,"ES","IAR/PARCC","reading",89,22.5
"610179",2024,"ES","IAR/PARCC","reading",502,34.1
"610180",2024,"ES","IAR/PARCC","reading",209,6.7
"610182",2024,"ES","IAR/PARCC","reading",171,56.7
"610183",2024,"ES","IAR/PARCC","reading",254,8.7
"610184",2024,"ES","IAR/PARCC","reading",212,19.3
"610185",2024,"ES","IAR/PARCC","reading",689,27.1
"610188",2024,"ES","IAR/PARCC","reading",110,34.5
"610191",2024,"ES","IAR/PARCC","reading",382,66
"610192",2024,"ES","IAR/PARCC","reading",337,11.3
"610193",2024,"ES","IAR/PARCC","reading",206,16.5
"610194",2024,"ES","IAR/PARCC","reading",129,41.1
"610195",2024,"ES","IAR/PARCC","reading",424,40.1
"610196",2024,"ES","IAR/PARCC","reading",311,23.2
"610197",2024,"ES","IAR/PARCC","reading",296,24.3
"610198",2024,"ES","IAR/PARCC","reading",219,18.7
"610199",2024,"ES","IAR/PARCC","reading",107,28
"610200",2024,"ES","IAR/PARCC","reading",140,17.1
"610201",2024,"ES","IAR/PARCC","reading",542,56.6
"610202",2024,"ES","IAR/PARCC","reading",159,6.9
"610203",2024,"ES","IAR/PARCC","reading",344,30.8
"610206",2024,"ES","IAR/PARCC","reading",605,51.7
"610207",2024,"ES","IAR/PARCC","reading",162,20.4
"610208",2024,"ES","IAR/PARCC","reading",220,15.9
"610209",2024,"ES","IAR/PARCC","reading",441,9.1
"610212",2024,"ES","IAR/PARCC","reading",232,25.4
"610213",2024,"ES","IAR/PARCC","reading",284,21.8
"610215",2024,"ES","IAR/PARCC","reading",250,19.6
"610216",2024,"ES","IAR/PARCC","reading",147,16.3
"610217",2024,"ES","IAR/PARCC","reading",314,48.1
"610218",2024,"ES","IAR/PARCC","reading",172,26.2
"610219",2024,"ES","IAR/PARCC","reading",397,48.1
"610220",2024,"ES","IAR/PARCC","reading",402,55.2
"610221",2024,"ES","IAR/PARCC","reading",119,21.8
"610223",2024,"ES","IAR/PARCC","reading",204,5.9
"610225",2024,"ES","IAR/PARCC","reading",140,27.9
"610226",2024,"ES","IAR/PARCC","reading",348,19.5
"610227",2024,"ES","IAR/PARCC","reading",394,23.1
"610228",2024,"ES","IAR/PARCC","reading",152,8.6
"610229",2024,"ES","IAR/PARCC","reading",446,66.6
"610230",2024,"ES","IAR/PARCC","reading",293,60.1
"610231",2024,"ES","IAR/PARCC","reading",461,36.9
"610234",2024,"ES","IAR/PARCC","reading",180,17.8
"610235",2024,"ES","IAR/PARCC","reading",251,14.7
"610237",2024,"ES","IAR/PARCC","reading",156,9.6
"610238",2024,"ES","IAR/PARCC","reading",126,13.5
"610239",2024,"ES","IAR/PARCC","reading",325,11.4
"610242",2024,"ES","IAR/PARCC","reading",261,15.3
"610246",2024,"ES","IAR/PARCC","reading",544,37.7
"610248",2024,"ES","IAR/PARCC","reading",340,33.5
"610249",2024,"ES","IAR/PARCC","reading",207,34.8
"610250",2024,"ES","IAR/PARCC","reading",220,10.5
"610251",2024,"ES","IAR/PARCC","reading",194,16
"610252",2024,"ES","IAR/PARCC","reading",138,2.9
"610254",2024,"ES","IAR/PARCC","reading",201,9.5
"610256",2024,"ES","IAR/PARCC","reading",26,3.8
"610257",2024,"ES","IAR/PARCC","reading",142,19.7
"610263",2024,"ES","IAR/PARCC","reading",387,6.5
"610268",2024,"ES","IAR/PARCC","reading",218,12.8
"610269",2024,"ES","IAR/PARCC","reading",164,22
"610271",2024,"ES","IAR/PARCC","reading",178,23.6
"610274",2024,"ES","IAR/PARCC","reading",125,15.2
"610276",2024,"ES","IAR/PARCC","reading",157,4.5
"610279",2024,"ES","IAR/PARCC","reading",157,10.2
"610281",2024,"ES","IAR/PARCC","reading",375,7.2
"610282",2024,"ES","IAR/PARCC","reading",176,9.1
"610284",2024,"ES","IAR/PARCC","reading",169,22.5
"610287",2024,"ES","IAR/PARCC","reading",185,33
"610290",2024,"ES","IAR/PARCC","reading",176,8
"610291",2024,"ES","IAR/PARCC","reading",426,28.2
"610293",2024,"ES","IAR/PARCC","reading",180,9.4
"610295",2024,"ES","IAR/PARCC","reading",159,18.2
"610298",2024,"ES","IAR/PARCC","reading",175,82.3
"610299",2024,"ES","IAR/PARCC","reading",164,8.5
"610300",2024,"ES","IAR/PARCC","reading",218,12.4
"610305",2024,"ES","IAR/PARCC","reading",162,8.6
"610312",2024,"ES","IAR/PARCC","reading",64,31.3
"610313",2024,"ES","IAR/PARCC","reading",308,11
"610315",2024,"ES","IAR/PARCC","reading",67,26.9
"610316",2024,"ES","IAR/PARCC","reading",141,56
"610317",2024,"ES","IAR/PARCC","reading",179,34.6
"610319",2024,"ES","IAR/PARCC","reading",204,34.8
"610325",2024,"ES","IAR/PARCC","reading",323,30.7
"610329",2024,"ES","IAR/PARCC","reading",159,46.5
"610339",2024,"ES","IAR/PARCC","reading",218,7.8
"610342",2024,"ES","IAR/PARCC","reading",202,12.9
"610345",2024,"ES","IAR/PARCC","reading",201,12.9
"610347",2024,"ES","IAR/PARCC","reading",174,16.1
"610350",2024,"ES","IAR/PARCC","reading",238,55.9
"610352",2024,"ES","IAR/PARCC","reading",395,27.8
"610353",2024,"ES","IAR/PARCC","reading",403,14.6
"610354",2024,"ES","IAR/PARCC","reading",166,14.5
"610355",2024,"ES","IAR/PARCC","reading",136,14
"610362",2024,"ES","IAR/PARCC","reading",117,23.9
"610363",2024,"ES","IAR/PARCC","reading",819,45.9
"610364",2024,"ES","IAR/PARCC","reading",113,18.6
